Name,Critic_Score,User_Score,Platform
Bully,87,9,PS2
Resident Evil 4,96,9,PS2
Phoenix Wright: Ace Attorney,81,9,DS
Devil May Cry 3: Dante's Awakening,84,9,PS2
Metal Gear Solid 3: Snake Eater,91,9,PS2
Grand Theft Auto: San Andreas,95,9,PS2
Burnout 3: Takedown,93,9,PS2
Pikmin 2,90,9,GC
Star Wars: Knights of the Old Republic,93,9,PC
Mario & Luigi: Superstar Saga,90,9,GBA
The Legend of Zelda Collector's Edition,95,9,GC
Ratchet & Clank: Going Commando,90,9,PS2
Star Wars: Knights of the Old Republic,94,9,XBOX
Warcraft III: The Frozen Throne,88,9,PC
Golden Sun: The Lost Age,86,9,GBA
Dynasty Warriors 4,78,9,PS2
The Legend of Zelda: Ocarina of Time / Master Quest,91,9,GC
War of the Monsters,80,9,PS2
Metroid Fusion,92,9,GBA
Harry Potter and the Chamber of Secrets,76,9,GBA
Kingdom Hearts,85,9,PS2
Onimusha 2: Samurai's Destiny,84,9,PS2
Drakan: The Ancients' Gates,78,9,PS2
Golden Sun,91,9,GBA
Silent Hill 2,89,9,PS2
Advance Wars,92,9,GBA
Klonoa 2: Lunatea's Veil,91,9,PS2
Diablo II: Lord of Destruction,87,9,PC
Banjo-Tooie,90,9,N64
Resident Evil 3: Nemesis,79,9,DC
Dino Crisis,74,9,DC
Age of Empires II: The Conquerors Expansion,88,9,PC
Thief II: The Metal Age,87,9,PC
Parasite Eve II,79,9,PS
Gran Turismo 2,93,9,PS
Unreal Tournament (1999),92,9,PC
Rayman 2: The Great Escape,90,9,N64
Age of Empires II: The Age of Kings,92,9,PC
Legacy of Kain: Soul Reaver,91,9,PS
Silent Hill,86,9,PS
Myth II: Soulblighter,88,9,PC
Thief: The Dark Project,92,9,PC
Crash Bandicoot 3: Warped,91,9,PS
Parasite Eve,81,9,PS
The Curse of Monkey Island,89,9,PC
Valkyria Chronicles 4,81,8.9,Switch
Firewall Zero Hour,79,8.9,PS4
NieR: Automata - Become as Gods Edition,90,8.9,XONE
Super Mario Odyssey,97,8.9,Switch
The Evil Within 2,80,8.9,PC
Metroid: Samus Returns,85,8.9,3DS
Kingdom Hearts HD I.5 + II.5 Remix,84,8.9,PS4
NieR: Automata,88,8.9,PS4
Hollow Knight,87,8.9,PC
The Witcher 3: Wild Hunt - Blood and Wine,91,8.9,PS4
Dark Souls III,89,8.9,PS4
Life is Strange: Episode 3 - Chaos Theory,80,8.9,PC
Mario Kart 8 DLC Pack 2,90,8.9,WIIU
Xenoblade Chronicles 3D,86,8.9,3DS
Bloodborne,92,8.9,PS4
Cities: Skylines,85,8.9,PC
The Legend of Zelda: Majora's Mask 3D,89,8.9,3DS
Mario Kart 8,88,8.9,WIIU
Donkey Kong Country: Tropical Freeze,83,8.9,WIIU
Super Mario 3D World,93,8.9,WIIU
Tearaway,87,8.9,VITA
The Wolf Among Us: Episode 1 - Faith,85,8.9,PC
The Legend of Zelda: The Wind Waker HD,90,8.9,WIIU
Killzone: Mercenary,78,8.9,VITA
Okami HD,90,8.9,PS3
Black Mesa,86,8.9,PC
Metal Gear Solid HD Collection,89,8.9,PS3
Dark Souls,89,8.9,PS3
The Legend of Zelda: Ocarina of Time 3D,94,8.9,3DS
Final Fantasy IV: The Complete Collection,77,8.9,PSP
Professor Layton and the Unwound Future,86,8.9,DS
Monkey Island 2 Special Edition: LeChuck's Revenge,87,8.9,PC
Red Dead Redemption,95,8.9,PS3
Mass Effect 2,96,8.9,X360
Football Manager 2010,87,8.9,PC
Ratchet & Clank Future: A Crack in Time,87,8.9,PS3
Uncharted 2: Among Thieves,96,8.9,PS3
Demon's Souls,89,8.9,PS3
The Secret of Monkey Island: Special Edition,86,8.9,PC
Plants vs. Zombies,87,8.9,PC
Pro Evolution Soccer 2009,84,8.9,WII
Okami,90,8.9,WII
Super Smash Bros. Brawl,93,8.9,WII
Nobunaga's Ambition: Rise to Power,70,8.9,PS2
Supreme Commander: Forged Alliance,81,8.9,PC
Final Fantasy Tactics: The War of the Lions,88,8.9,PSP
Metroid Prime 3: Corruption,90,8.9,WII
BioShock,96,8.9,X360
Final Fantasy,67,8.9,PSP
God of War II,93,8.9,PS2
